bssoccer|Back Street Soccer|2.0M
bstars|Baseball Stars Professional|3.7M
bstars2|Baseball Stars 2|4.1M
btime|Burger Time (Data East set 1)|20.3K
btime2|Burger Time (Data East set 2)|20.3K
btimem|Burger Time (Midway)|22.6K
btlecity|Vs. Battle City|31.1K
btlfield|Battle Field (Japan)|890.0K
btlkroad|Battle K-Road|4.0M
btoads|Battle Toads|4.1M
bubblem|Bubble Memories - The Story Of Bubble Bobble 3 (World)|5.6M
bubblemj|Bubble Memories - The Story Of Bubble Bobble 3 (Japan)|5.6M
bubbles|Bubbles|33.8K
bubblesp|Bubbles (prototype version)|33.7K
bubblesr|Bubbles (Solid Red label)|33.9K
bubbobr1|Bubble Bobble (US)|179.5K
bubl2000|Bubble 2000|2.6M
bublbob1|Bubble Bobble (older)|179.5K
bublbob2|Bubble Bobble 2 (World)|4.7M
bublbobl|Bubble Bobble|179.5K
bublboblp|Bubble Bobble (prototype on Tokio hardware)|140.2K
bublboblu|Bubble Bobble (Ultra Version)(USA)|179.9K
bublbobr|Bubble Bobble (US with mode select)|179.5K
bublcave|Bubble Bobble: Lost Cave V1.2|188.2K
bubsympe|Bubble Symphony (Europe)|4.7M
bubsymph|Bubble Symphony (Japan)|4.7M
bubsympu|Bubble Symphony (US)|4.7M
buckrog|Buck Rogers - Planet of Zoom|86.8K
buckrogn|Buck Rogers - Planet of Zoom (not encrypted)|81.7K
bucky|Bucky O'Hare (World version EA)|5.8M
buckyua|Bucky O'Hare (US version UA)|5.8M
buggychl|Buggy Challenge|94.7K
buggycht|Buggy Challenge (Tecfri)|94.7K
bullfgt|Bullfight|61.1K
bullfgtr|Bull Fighter|85.4K
buraiken|Hissatsu Buraiken (Japan)|350.5K
burglarx|Burglar X|4.6M
burnforc|Burning Force (Japan)|1.7M
burningf|Burning Fight (set 1)|3.8M
burningh|Burning Fight (set 2)|3.8M
butasan|Butasan (Japan)|217.3K
bwcasino|Boardwalk Casino|14.0K
bwidow|Black Widow|26.5K
bwing|B-Wings (Japan)|58.7K
bwings|Battle Wings|62.2K
bzone|Battle Zone (set 1)|12.7K
bzone2|Battle Zone (set 2)|12.7K
bzonec|Battle Zone (cocktail)|13.8K
cabal|Cabal (World, Joystick version)|517.3K
cabala|Cabal (Alpha Trading)|494.0K
cabalbl|Cabal (bootleg of Joystick version)|491.3K
cabalus|Cabal (US set 1, Trackball version)|517.4K
cabalus2|Cabal (US set 2, Trackball version)|515.5K
cabaret|Cabaret|228.4K
cachat|Cachat (Japan)|165.4K
